"Neither","Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Success","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"0","68195","69384","67429","69375","71389","25889","70590","62798","73082","10031","74551","75703","65138","76056","60182","75348","61923","60516","76711"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"0","76198","75267","71199","73940","76407","76918","76760","63981","61341","60853","63664","15905","61401","65408","67559","63793","63649","68233","64493"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Neither","Success","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"0","64710","64289","64611","63430","63671","63985","64919","64550","64862","18050","68918","6146","68298","66229","66659","68643","69789","65839","68530"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Neither","Neither","Neither"
"0","67624","71844","70449","69433","70173","70542","71157","72429","71756","69544","70608","80762","32277","73138","71337","72630","75811","75370","73715"
