"Neither","Neither","Success","Success","Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success"
"0","65208","13053","8657","48568","12385","61574","35989","7080","62784","57549","3851","11666"
"Neither","Success","Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Success","Success","Success"
"0","56811","67437","63453","19566","61505","60374","66283","3510","49176","6836","17186","3473"
"Neither","Neither","Neither","Success","Success","Success","Neither","Success","Neither","Success","Success","Neither","Success"
"0","60683","66084","7138","5485","10341","60278","6373","67399","22822","7567","67335","8731"
"Neither","Neither","Success","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Success","Neither"
"0","60930","10707","64548","65882","12098","8936","36481","74588","5094","7434","8035","64760"
"Neither","Neither","Neither","Neither","Neither","Success","Success","Neither","Success","Success","Neither","Success","Success"
"0","60124","67939","63493","67417","5415","20761","60744","12062","7554","66910","43012","19629"
"Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","38713","25126","68348","17563","11896","12912","8464","27855","5823","22093","17531","68630"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Success","Neither","Neither","Neither"
"0","60343","65988","62740","13970","62742","74157","48818","18251","34806","60032","20451","67904"
"Neither","Success","Success","Neither","Neither","Neither","Neither","Neither","Success","Neither","Success","Success","Success"
"0","19131","13798","61103","61423","72599","67114","63276","27696","67244","5023","7413","42771"
