"Neither","Neither","Neither","Success","Neither","Success","Violation","Neither","Violation","Neither"
"176752","236087","235481","160658","160357","160782","159000","159300","161424","84258"
"Neither","Neither","Neither","Violation","Neither","Violation","Neither","Neither","Violation","Neither"
"163906","163850","167025","166094","338339","169437","167246","173189","173975","90718"
"Neither","Neither","Violation","Violation","Neither","Neither","Violation","Neither","Neither","Neither"
"172213","261303","269344","174812","179034","89189","177263","89277","93036","179102"
"Neither","Violation","Neither","Neither","Violation","Neither","Violation","Neither","Neither","Success"
"179890","275664","183955","184699","187429","93444","188665","93949","98426","284507"
"Neither","Neither","Neither","Neither","Neither","Success","Success","Violation","Violation","Violation"
"190905","189870","193310","190747","199990","193885","395271","99604","195833","495059"
