"Neither","Neither","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","67667","71392","73140","3595","60259","1613","11984","7745","3817","1787","2840"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","3050","7098","3568","8708","4060","4132","4315","2215","3153","2044","5964"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Success","Success"
"0","68501","62873","72227","4455","69940","63714","65658","2616","4313","4746","5874"
"Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Success"
"0","65163","15144","8148","2396","12580","6461","7651","3712","6642","3742","7435"
