"Neither","Neither","Success","Success","Neither","Success","Violation","Violation","Neither","Success","Neither","Violation","Success","Success","Violation","Success","Success","Success","Success","Violation"
"0","69008","16247","4780","70225","45775","15789","10884","64947","22286","74904","37267","26853","32315","38725","16455","10839","8582","25259","25583"
"Neither","Neither","Violation","Neither","Success","Success","Success","Success","Violation","Success","Success","Success","Violation","Neither","Neither","Success","Success","Violation","Success","Success"
"0","65734","5639","65829","5039","9685","12150","27226","7345","8965","12000","6604","14494","70449","70406","6953","17888","28029","13057","37914"
