"Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Violation"
"0","12740","16863","54892","2931","9381","34258","5387","13879","2427"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","86269","15893","72642","7436","6212","4181","5796","4894","34391"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","67104","7269","68899","14330","5512","13316","6474","6666","4881"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Success"
"0","77220","9097","4740","10727","5500","9256","72845","5605","12694"
"Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success","Success"
"0","75428","73984","5697","8355","76418","16097","10765","4132","13161"
