"Neither","Neither","Neither","Success","Neither","Success","Neither","Success","Success","Success"
"0","76115","73177","5909","72470","10761","63714","4433","5696","16875"
"Neither","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success"
"0","78233","74249","4474","4920","4332","61394","54898","5893","5369"
"Neither","Neither","Success","Success","Neither","Success","Neither","Success","Success","Success"
"0","63072","10668","9338","64729","9442","66442","5908","6600","4950"
"Neither","Neither","Success","Violation","Success","Success","Success","Success","Success","Success"
"0","67519","4603","17217","10362","15048","6683","8072","18181","7128"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Neither","Success"
"0","71414","65202","6942","26752","34136","12056","4865","69939","6070"
