"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","72556","68290","10086","17729","8606","3522","10728","18970","6610","3440","25261","73091"
"Neither","Neither","Success","Success","Success","Success","Neither","Success","Neither","Success","Success","Success","Success"
"0","74102","10898","18349","22629","12563","61574","9999","77603","10686","4137","6182","5258"
"Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","62061","4750","11468","4681","62886","5543","10986","11719","9972","5100","11892","8508"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Success"
"0","64890","63866","5777","15024","38875","14921","10090","25338","19977","67004","10761","7603"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","74534","73001","76214","17810","4976","4444","11922","69421","8096","28122","7270","19611"
