"Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Neither","Success","Success","Neither"
"0","76831","9176","25226","64440","75356","10401","10997","36076","63447","4206","3301","69660"
"Neither","Neither","Success","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success"
"0","66639","12361","71489","70886","70468","73707","4092","37554","48951","8550","75269","8165"
"Neither","Neither","Success","Neither","Success","Neither","Neither","Success","Success","Success","Success","Neither","Neither"
"0","64337","13761","79216","35133","84473","84316","11724","9583","13160","12567","85840","71102"
"Neither","Neither","Success","Neither","Success","Success","Success","Neither","Success","Success","Success","Success","Neither"
"0","62391","15596","49651","11280","10352","16485","62694","5953","8104","16059","9249","65594"
