"Neither","Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","62624","16939","16316","7217","5094","7314","2488","5725","1698","6964","7922"
"Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","64313","64638","67340","5934","11817","9914","62923","5600","11288","10218","2012"
"Neither","Success","Success","Success","Success","Success","Success","Success","Violation","Success","Success","Success"
"0","3532","17942","12286","10724","1929","20606","10037","12937","5458","12844","7699"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","11808","12512","2287","24341","11673","4346","8761","8359","5081","5124","7621"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Violation","Violation","Success"
"0","62675","60193","71029","14674","6358","7373","1603","6912","8577","18751","5368"
