"Neither","Success","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","31652","60024","60543","9086","6589","11962","7572","6759","9412","4907","8668","5987","6852","15532"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Violation","Success","Success"
"0","64940","68118","66519","2826","6817","6548","12089","16761","6960","9163","4663","7599","7101","13007"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","69086","22785","6336","17397","35126","6085","23839","27918","18493","7928","3298","9018","8330","9656"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60907","23371","32868","6288","5301","5920","9650","5372","14963","31853","10266","13738","10773","10682"
"Neither","Neither","Neither","Success","Violation","Success","Success","Success","Success","Success","Success","Violation","Success","Success","Success"
"0","64153","72034","9388","28362","6374","18143","9808","23541","8998","9152","20119","7688","10780","11235"
