"Neither","Neither","Success","Success","Success","Violation","Success","Violation","Success","Success","Success","Success","Success","Violation","Success"
"0","72330","33858","8162","10871","8962","4376","2881","23588","12829","7601","8441","4109","9354","5351"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61115","9904","14715","13286","4599","24994","26777","13659","21967","4148","8018","27335","10948","13071"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Success"
"0","62758","63973","63710","33522","11161","3697","13882","51670","7339","9717","6798","9772","5422","5649"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","68663","23409","12534","8810","18506","14740","23376","10110","8598","19043","7482","10270","15479","10112"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Violation","Success","Success"
"0","69514","67855","22771","24881","15902","6937","9774","18902","11015","23528","5670","16234","5964","7439"
