"Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","51173","3418","5450","3756","9043","1516","2446","5776","1135","14320","9001"
"Neither","Violation","Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success"
"0","56308","56314","55089","1932","997","3298","3120","2114","3729","3780","925"
"Neither","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","58185","59352","60150","60079","4276","6153","1615","17189","1618","3736","3158"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","3315","1983","1593","2390","2354","4583","5990","5825","1088","6501","11617"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","61367","11478","1506","2566","3530","2780","62496","2812","2168","2097","4924"
"Neither","Neither","Neither","Violation","Success","Success","Success","Success","Success","Neither","Success","Success"
"0","63351","60517","61894","62993","63622","1823","4198","4085","15762","15505","4672"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","64066","62936","3165","5669","4767","13143","4430","2649","1088","4841","7895"
"Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","7523","1864","3152","2893","6468","4771","4779","15145","6043","8162","4171"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63363","4712","6724","5239","5594","10382","5819","12295","4135","2549","1456"
"Neither","Neither","Neither","Neither","Success","Neither","Violation","Success","Success","Success","Success","Success"
"0","64205","61906","60540","3316","62051","18382","4798","9747","3121","6344","2330"
