"Neither","Neither","Success","Violation","Success","Success","Success","Success","Success","Success","Success","Success"
"0","52462","1072","3580","12247","22317","1989","3320","9036","3841","1847","841"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","54016","56536","1845","2217","2703","1269","2015","3393","1134","3058","3734"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","60357","2125","2271","3649","2057","3364","2062","9885","22278","12390","12964"
