"Neither","Neither","Success","Success","Neither","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","64981","15740","4599","64352","6434","69669","11070","10438","5451","57040","4403","8528"
"Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success","Neither","Success","Success"
"0","66341","20158","15387","5996","65041","6703","5558","5005","3187","63843","7071","12443"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success"
"0","65297","7280","7850","44000","4778","9067","3962","12874","14388","8039","12591","8245"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","71767","9774","6905","4707","10263","9248","41472","5026","6008","7329","9014","11498"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Neither","Success","Success","Success"
"0","66321","6392","7925","19858","10616","4230","68407","13836","74145","5424","5656","6652"
"Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Neither","Success"
"0","71696","71396","7981","19114","65770","12402","6787","27085","5680","6613","61672","10352"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Neither","Success","Success","Success"
"0","64462","7526","61628","8319","13717","9571","10322","17853","80555","7450","15272","16167"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63208","65702","31601","11172","10364","13050","6788","5745","14291","9888","12201","8931"
"Neither","Neither","Success","Neither","Success","Success","Neither","Success","Success","Success","Neither","Success","Success"
"0","74276","10185","77376","7122","11566","68823","47125","7561","8190","62205","22844","9575"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","75278","14336","9917","8306","14384","5000","37067","72813","6137","39135","12641","15130"
