"Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","71767","3346","7023","4536","6274","19606","8448","68637","4713","5986","6948","3016"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Neither","Success"
"0","65346","33351","12023","8882","2982","4730","3385","68936","5527","5632","71527","7779"
"Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","76382","37985","36458","74991","77161","10860","10696","8184","5250","5369","19314","5565"
"Neither","Neither","Success","Success","Neither","Success","Neither","Success","Success","Neither","Success","Success","Success"
"0","84552","45084","7062","85499","8525","60256","9528","6201","65046","7112","10710","11045"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","65655","65339","14597","7460","9273","8427","6425","6220","20047","54256","7233","69954"
