"Neither","Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","49083","48717","1432","1677","1399","5301","1676","798","3525","2078","1042"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","51204","59290","1671","1056","2028","3647","1006","782","2171","2047","1420"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","58930","60464","60339","1686","2440","2852","2275","758","1035","2432","1992"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60429","62512","4812","4035","1850","753","1765","2830","2797","2417","2599"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60904","61214","60614","2996","2989","4251","1599","1194","4616","3744","848"
"Neither","Neither","Success","Violation","Violation","Success","Success","Success","Success","Success","Success","Success"
"0","63157","63607","52676","12678","5511","1246","3113","2289","2617","3670","1158"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61581","3054","13451","3405","10491","2024","12715","2367","3139","4971","5880"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60141","2477","7733","1391","5971","3915","1443","2849","1635","5992","3462"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63428","60354","62603","2419","4743","2626","5140","2071","3759","3252","1662"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61862","3534","2701","8119","3606","1431","1347","9526","4075","3559","3335"
