"Neither","Neither","Neither","Neither","Success","Violation","Violation","Success","Violation","Violation","Neither","Neither","Success","Success","Neither","Success","Neither","Neither","Neither","Neither"
"0","75539","65709","63217","8631","6681","52508","16934","55153","19773","61141","62852","4439","15167","68412","30609","72630","63573","78683","65033"
"Neither","Neither","Success","Neither","Violation","Success","Success","Success","Violation","Neither","Neither","Success","Success","Success","Violation","Violation","Violation","Neither","Neither","Neither"
"0","60312","24167","67731","5717","25930","14981","12894","27183","63215","62785","6362","24326","6386","15066","9697","11732","62679","62721","62986"
"Neither","Neither","Neither","Success","Success","Neither","Success","Neither","Violation","Violation","Success","Success","Success","Success","Success","Violation","Neither","Neither","Neither","Violation"
"0","63246","64710","14016","10101","64318","5088","64853","19387","36088","14221","42930","18682","6328","7371","15020","67618","66872","68154","12636"
"Neither","Neither","Violation","Success","Violation","Success","Neither","Success","Violation","Neither","Success","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success"
"0","68924","11230","19824","35031","15293","61851","53499","7815","70942","21495","72746","62087","33234","71944","29098","47847","5362","5550","34032"
"Neither","Neither","Success","Neither","Violation","Success","Violation","Success","Success","Success","Success","Success","Violation","Success","Violation","Violation","Neither","Neither","Neither","Neither"
"0","74469","37321","75073","29872","9941","17972","5118","39575","13669","22176","7851","25514","15800","17910","25811","79795","83009","80838","79700"
